SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
017,017,s05036.dyndns.org,,,AV. NOSSA SENHORA DO CARMO,RUA DUQUE DE CAXIAS,AV. NOSSA SENHORA DO CARMO X RUA DUQUE DE CAXIAS,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.066170,-34.877460,"-8.066170,-34.877460",NÃO,,,,05:30/21:00h,,,1,,2,,,4,,2,3,,,,,,4.005.611.232,61.048.286,27/06/1977
018,018,s05019.dyndns.org,,,RUA DO IMPERADOR,RUA 1º DE MARÇO,RUA DO IMPERADOR X RUA 1º DE MARÇO,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.064191,-34.876823,"-8.064191,-34.876823",NÃO,,,,,,,2,,1,,,2,,,2,,,,,,7.040.597.624,3.211.194.641,17/05/1980
019,019,s05028.dyndns.org,,,AV. RIO BRANCO,CAIS DO APOLO,AV. RIO BRANCO X CAIS DO APOLO,RECIFE ANTIGO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.062391,-34.873830,"-8.062391,-34.873830",NÃO,,,,,,,1,1,2,,,7,,,,,1,,,,4.005.610.066,61.049.860,17/05/1980
020 / 165,020,s05673.dyndns.org,,,AV. MARQUÊS DE OLINDA,RUA MADRE DE DEUS,AV. MARQUÊS DE OLINDA X RUA MADRE DE DEUS,RECIFE ANTIGO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.063611,-34.873672,"-8.063611,-34.873672",NÃO,,,,,,,1,1,1,,,4,,,2,,,,,,4.005.610.112,80.913.559,20/06/1980
021,021,s05328.dyndns.org,,,RUA DA HORA,RUA 48,RUA DA HORA X RUA 48,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.042905,-34.891930,"-8.042905,-34.891930",SIM,,,,,,,1,,2,,,3,,,,,1,1,,,4.008.174.666,3.131.229.428,30/12/1976
022,022,s05247.dyndns.org,,,RUA PRINCESA ISABEL,RUA DA AURORA,RUA PRINCESA ISABEL X RUA DA AURORA,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.059518,-34.879984,"-8.059518,-34.879984",NÃO,,,,,,,1,,1,,,4,,,4,,2,,1,,4.010.336.827,81.376.662,25/07/1980
023,023,s05616.dyndns.org,,,AV. CONDE DA BOA VISTA,RUA DO HOSPÍCIO,AV. CONDE DA BOA VISTA X RUA DO HOSPÍCIO,BOA VISTA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.060773,-34.884050,"-8.060773,-34.884050",NÃO,1191.A0.010000004794,,,,,,11,2,,,,9,,12,,,3,,,,4.005.611.704,3.202.899.870,16/11/1978
024,024,s05617.dyndns.org,,,AV. CONDE DA BOA VISTA,RUA GERVÁSIO PIRES,AV. CONDE DA BOA VISTA X RUA GERVÁSIO PIRES,BOA VISTA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.059567,-34.886443,"-8.059567,-34.886443",NÃO,1191.A0.010000004795,,,,,1,9,2,,,,7,,14,,,2,,,,4.011.843.927,,19/11/1976
025,025,s05006.dyndns.org,,,AV. CONDE DA BOA VISTA,RUA DA SOLEDADE,AV. CONDE DA BOA VISTA X RUA DA SOLEDADE,BOA VISTA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.057554,-34.889962,"-8.057554,-34.889962",NÃO,1191.A0.010000004787,,,,,,8,3,,,,8,,15,,,2,,,,4.005.611.950,3.132.803.020,17/11/1977
026,026,s05073.dyndns.org,,,ESTRADA DE BELÉM,RUA ODORICO MENDES,ESTRADA DE BELÉM X RUA ODORICO MENDES,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.032111,-34.881324,"-8.032111,-34.881324",NÃO,,,,,3,,1,,4,,,8,,4,,,4,,,,4.006.557.266,3.193.062.600,10/11/1976
027,027,s05340.dyndns.org,,,AV. CONDE DA BOA VISTA,RUA DOM BOSCO,AV. CONDE DA BOA VISTA X RUA DOM BOSCO,BOA VISTA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.055998,-34.895380,"-8.055998,-34.895380",NÃO,1191.A0.010000004791,,,,,,3,5,,,,10,,8,,,2,,,,4.005.612.050,3.225.760.470,15/08/1978
028,028,s05213.dyndns.org,,,AV. MANOEL BORBA,RUA DOM BOSCO,AV. MANOEL BORBA X RUA DOM BOSCO,PAISSANDU,GIT-SM 6 FASES,SINALVIDA,8,,,-8.059392,-34.894050,"-8.059392,-34.894050",NÃO,,,,,,,9,,2,,,8,,10,,,1,,1,,4.006.885.107,62.098.082,31/07/1979
029,029,s04958.dyndns.org,,,AV. MANOEL BORBA,RUA JOSÉ DE ALENCAR,AV. MANOEL BORBA X RUA JOSÉ DE ALENCAR,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.060502,-34.888369,"-8.060502,-34.888369",NÃO,,,,,,,1,,2,,,5,,,,2,,,,,4.005.990.438,3.183.464.140,27/06/1977
030,030,s04954.dyndns.org,,,RUA 13 DE MAIO,RUA DOS PALMARES,RUA 13 DE MAIO X RUA DOS PALMARES,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.052560,-34.883697,"-8.052560,-34.883697",NÃO,,,,,,,,1,2,,,8,,,,2,4,,,,4.010.264.230,3.183.259.856,03/09/1977
031 / 466,031,s05237.dyndns.org,,,RUA DO HOSPÍCIO,RUA PRINCESA ISABEL,RUA DO HOSPÍCIO X RUA PRINCESA ISABEL,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.057830,-34.882930,"-8.057830,-34.882930",NÃO,,,,,,,2,,4,,,6,,,2,,4,,1,,4.010.184.377,81.376.123,10/06/1985
032,032,s05110.dyndns.org,,,RUA DO HOSPÍCIO,AV.VISCONDE DE SUASSUNA,RUA DO HOSPÍCIO X AV.VISCONDE DE SUASSUNA,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.055068,-34.882265,"-8.055068,-34.882265",NÃO,,,,07:00/19:00h,,,3,,3,,,5,,6,,1,3,,,,4.011.843.927,,29/11/1980
033,033,s05390.dyndns.org,,,RUA DO HOSPÍCIO,RUA DA MATRIZ,RUA DO HOSPÍCIO X RUA DA MATRIZ,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.062624,-34.885292,"-8.062624,-34.885292",NÃO,,,,,,,,,1,,,2,,,,,2,,,,4.005.990.195,61.154.248,13/07/1978
034,034,s05137.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,AV. CRUZ CABUGÁ,AV. NORTE MIGUEL ARRAES DE ALENCAR X AV. CRUZ CABUGÁ,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.047535,-34.876962,"-8.047535,-34.876962",SIM,,,,,,,1,4,,,,6,,,,,4,,2,,4.005.637.444,3.151.371.859,21/07/1978
035,035,s05038.dyndns.org,,,AV. DANTAS BARRETO,RUA IMPERIAL,AV. DANTAS BARRETO X RUA IMPERIAL,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,DANTAS BARRETO,-8.072390,-34.883980,"-8.072390,-34.883980",NÃO,,,,,,,,3,1,,,10,,,,,4,,,,4.005.616.412,3.120.067.493,23/03/1978
036,036,s05281.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA 13 DE MAIO,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA 13 DE MAIO,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,FALTA CHIP,,-8.045910,-34.879089,"-8.045910,-34.879089",SIM,,,,,,,1,2,,,,4,,,,,3,,2,,4.005.637.487,3.213.810.854,11/01/1978
037,037,s05256.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,AV. RUI BARBOSA,AV. GOV. AGAMENON MAGALHÃES X AV. RUI BARBOSA,DERBY,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.052422,-34.895758,"-8.052422,-34.895758",SIM,1191.A0.010000004731,,,,,,5,3,3,,2,14,,6,,2,6,4,1,,4.004.775.991,3.202.086.160,27/08/1978
038,038,s04961.dyndns.org,,,AV. ADV. JOSÉ PAULO CAVALCANTE,AO LADO DO FORUM JOANA BEZERRA,AV. ADV. JOSÉ PAULO CAVALCANTE X AO LADO DO FORUM JOANA BEZERRA,ILHA JOANA BEZERRA,GIT-CSMP 10 FASES,SINALVIDA,8,,,-8.069418,-34.895270,"-8.069418,-34.895270",NÃO,,,,,,,,3,,,,9,,,,,,,,,4.011.843.927,,20/10/2008
039,039,s05255.dyndns.org,,,RUA MOTOCOLOMBÓ,RUA AUGUSTO WANDERLEY,RUA MOTOCOLOMBÓ X RUA AUGUSTO WANDERLEY,AFOGADOS,GIT-CSMP 10 FASES,SERTTEL,5,,AFOGADOS - AV. SUL,-8.082688,-34.906625,"-8.082688,-34.906625",SIM,,,,,,,1,,2,,,3,,,,,2,,1,,4.006.930.668,3.205.573.738,20/10/1979
040 / 418,040,s05290.dyndns.org,,,PRAÇA DO DERBY,RUA JENNER DE SOUZA,PRAÇA DO DERBY X RUA JENNER DE SOUZA,DERBY,COMPARTILHADO,SERTTEL,4,,,-8.057073,-34.900077,"-8.057073,-34.900077",NÃO,1191A0010000004732,,,,,,3,1,4,,,7,,8,,,4,,1,,4.005.620.584,3.182.035.156,30/07/1979
041,041,s05130.dyndns.org,,,RUA DO PRÍNCIPE,RUA GERVÁSIO PIRES,RUA DO PRÍNCIPE X RUA GERVÁSIO PIRES,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.057352,-34.885062,"-8.057352,-34.885062",NÃO,,,,,,,,,2,,,4,,,,,,,,,4.010.184.091,81.376.344,29/11/1980
042 / 664,042,s05586.dyndns.org,,,AV. BEBERIBE,ESTRADA DE BELÉM,AV. BEBERIBE X ESTRADA DE BELÉM,ENCRUZILHADA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.037159,-34.890933,"-8.037159,-34.890933",SIM,,,,,,,1,,2,,,6,,,,,3,,,,4.005.800.000,3.180.423.930,27/06/1977
043,043,s05111.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,AV. JOÃO DE BARROS,AV. NORTE MIGUEL ARRAES DE ALENCAR X AV. JOÃO DE BARROS,ENCRUZILHADA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.038574,-34.892000,"-8.038574,-34.892000",SIM,,,,,2,,10,,4,,,9,,6,,,4,2,,,4.005.637.282,3.181.383.320,11/11/1980
044,044,s05099.dyndns.org,,,AV. DR. JOSÉ RUFINO,RUA IPOJUCA,AV. DR. JOSÉ RUFINO X RUA IPOJUCA,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.091724,-34.936071,"-8.091724,-34.936071",NÃO,,,,,,,,,4,,,8,,,,,,,,,4.008.921.607,3.225.204.801,18/09/1986
045,045,s05626.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA FERNANDO CÉSAR,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA FERNANDO CÉSAR,ENCRUZILHADA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.037027,-34.894343,"-8.037027,-34.894343",SIM,,,,,,,1,,5,,,8,,,,,2,,2,,4.005.752.545,3.210.487.157,29/09/1988
046,046,s05024.dyndns.org,,,AV. CONSELHEIRO ROSA E SILVA,RUA AMÉLIA,AV. CONSELHEIRO ROSA E SILVA X RUA AMÉLIA,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.045446,-34.897044,"-8.045446,-34.897044",SIM,,,,,,,1,,3,,,5,,,,1,3,,2,,4.008.166.701,3.150.618.303,01/06/1979
047,047,s05190.dyndns.org,,,AV. CONSELHEIRO ROSA E SILVA,AV. SANTOS DUMONT,AV. CONSELHEIRO ROSA E SILVA X AV. SANTOS DUMONT,ROSARINHO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.039569,-34.899387,"-8.039569,-34.899387",SIM,,,,,,,1,,2,,,3,,,,,,1,,,4.008.161.807,3.152.039.009,07/08/1980
048,048,s05056..dyndns.org,,,AV. RUI BARBOSA,RUA AMÉLIA,AV. RUI BARBOSA X RUA AMÉLIA,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.045144,-34.902060,"-8.045144,-34.902060",SIM,,,,,,,1,1,1,,,3,,,,,2,2,,,4.005.618.822,61.255.230,22/09/1979
049,049,s05236.dyndns.org,,,AV. GOV. AGAMENON MAGALHÃES,RUA ODORICO MENDES,AV. GOV. AGAMENON MAGALHÃES X RUA ODORICO MENDES,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.039799,-34.878830,"-8.039799,-34.878830",SIM,1191.A0.010000004727,,,,,,1,,4,,2,12,,,,,4,4,,,4.005.637.347,61.256.881,26/07/1977
050 / 413,050,s05234.dyndns.org,,,RUA JOSÉ OSÓRIO,RUA VISCONDE DE ALBUQUERQUE,RUA JOSÉ OSÓRIO X RUA VISCONDE DE ALBUQUERQUE,MADALENA,GIT-CSMP 10 FASES,SERTTEL,4,,,-8.053297,-34.906797,"-8.053297,-34.906797",SIM,,,,,,,2,,3,,,5,,2,,,2,1,,,4.010.477.510,3.130.733.793,03/10/1980
051 / 353,051,s05238.dyndns.org,,,RUA BENFICA,ESTRADA DOS REMÉDIOS,RUA BENFICA X ESTRADA DOS REMÉDIOS,MADALENA,GIT-CSMP 10 FASES,SERTTEL,4,FOI ALTERADO O DYN DE s05278.dyndns.org PARA s05238.dyndns.org,BENFICA,-8.058197,-34.907149,"-8.058197,-34.907149",NÃO,,,,06:00/20:30h,,0,1,2,2,,,5,,2,2,,3,1,,,4.010.478.559,3.120.577.351,19/10/1978
052,052,radium-tecnologia.fortiddns.com:20161,,,AV. ENG ABDIAS DE CARVALHO,ESTRADA DOS REMÉDIOS,AV. ENG ABDIAS DE CARVALHO X ESTRADA DOS REMÉDIOS,MADALENA,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS 2,-8.061707,-34.907595,"-8.061707,-34.907595",NÃO,,3,,,,,1,1,3,,,7,,,,2,4,2,,,4.010.479.709,3.182.232.253,21/05/1980
053,053,s05675.dyndns.org,,,RUA SÃO MIGUEL,ESTRADA DOS REMÉDIOS,RUA SÃO MIGUEL X ESTRADA DOS REMÉDIOS,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,RUA DE SÃO MIGUEL,-8.080230,-34.906628,"-8.080230,-34.906628",NÃO,,,,,4,,5,,3,,,6,,2,4,,3,,,,4.008.923.138,3.183.073.965,16/09/1981
054,054,s05373.dyndns.org,,,AV. DANTAS BARRETO,RUA SÃO JOÃO,AV. DANTAS BARRETO X RUA SÃO JOÃO,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,DANTAS BARRETO,-8.070230,-34.882240,"-8.070230,-34.882240",NÃO,,,,,,,2,1,4,,,11,,,2,,5,,,,4.005.612.085,3.152.885.546,20/06/1980
055,055,s05142.dyndns.org,,,AV. RECIFE,RUA PINTOR ANTÔNIO DE ALBUQUERQUE,AV. RECIFE X RUA PINTOR ANTÔNIO DE ALBUQUERQUE,VILA DO IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.107911,-34.927095,"-8.107911,-34.927095",NÃO,,,,,,,,1,2,,,4,,,,,2,2,,,4.008.139.844,71.555.658,26/07/1991
056 / 377,056,s05511.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA MARQUÊS DO PARANÁ,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA MARQUÊS DO PARANÁ,TORREÃO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.039898,-34.887527,"-8.039898,-34.887527",SIM,,,,,,,9,1,2,,,8,,6,,,2,,,,4.005.752.383,61.422.676,16/07/1977
057,057,radium-tecnologia.fortiddns.com:20101,,,AV. ENG ABDIAS DE CARVALHO,RUA CARLOS GOMES,AV. ENG ABDIAS DE CARVALHO X RUA CARLOS GOMES,PRADO,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS 2,-8.062552,-34.913114,"-8.062552,-34.913114",NÃO,,3,,,,,1,0,3,,,4,,,,,3,2,,,4.010.479.946,3.213.821.112,27/06/1977
058 / 687 / 688,058,radium-tecnologia.fortiddns.com:20021,,,AV. ENG ABDIAS DE CARVALHO,AV. GEN.SAN MARTIN,AV. ENG ABDIAS DE CARVALHO X AV. GEN.SAN MARTIN,CORDEIRO,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS DE CARVALHO,-8.060463,-34.925752,"-8.060463,-34.925752",SIM,,4,,,,,6,4,2,,,8,2,12,,,,6,,,4.012.936.538,3.142.411.600,27/06/1977
059,059,s05648.dyndns.org,,,AV. RECIFE,RUA CAP. JACINTO CRUZ,AV. RECIFE X RUA CAP. JACINTO CRUZ,VILA CARDEAL,GIT-SM 6 FASES,SINALVIDA,7,,,-8.094020,-34.929090,"-8.094020,-34.929090",NÃO,,,,,,,,,2,,,4,,,,,2,2,,,7.010.585.320,3.171.738.759,08/06/1996
060,060,s05225.dyndns.org,,,RUA DR VICENTE GOMES,RUA SETÚBAL,RUA DR VICENTE GOMES X RUA SETÚBAL,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.133064,-34.901717,"-8.133064,-34.901717",SIM,,,,,,,1,2,,,,4,,,,,2,,,,4.011.843.927,,19/10/2013
061,061,s05635.dyndns.org,,,ESTRADA DO ARRAIAL,RUA CÔNEGO BARATA,ESTRADA DO ARRAIAL X RUA CÔNEGO BARATA,TAMARINEIRA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.033199,-34.903538,"-8.033199,-34.903538",SIM,,,,,,,1,,3,,,5,,,,,,1,,,4.008.161.238,3.154.798.403,30/11/1979
062,062,s05509.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA CÔNEGO BARATA,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA CÔNEGO BARATA,TAMARINEIRA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.029633,-34.900494,"-8.029633,-34.900494",SIM,,,,,,,1,1,3,,,5,,,,,1,,2,,4.005.703.609,61.423.834,27/06/1977
063,063,s05392.dyndns.org,,,AV. BEBERIBE,RUA MÉM DE SÁ,AV. BEBERIBE X RUA MÉM DE SÁ,PONTO DE PARADA,GIT-SM 6 FASES,SERTTEL,2,,,-8.030124,-34.892476,"-8.030124,-34.892476",NÃO,,,,,,,,,4,,,6,,,,,2,2,,,4.012.280.527,3.212.068.291,27/06/1977
064,064,s05580.dyndns.org,,,AV. BEBERIBE,RUA SÃO BENTO,AV. BEBERIBE X RUA SÃO BENTO,ÁGUA FRIA,GIT-SM 6 FASES,SERTTEL,2,,,-8.023192,-34.893899,"-8.023192,-34.893899",NÃO,,,,,,,,,3,,,6,,,,,3,2,,,4.012.280.780,3.133.019.269,18/08/1980
065,065,s05334.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA NOVA DESCOBERTA,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA NOVA DESCOBERTA,NOVA DESCOBERTA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.019908,-34.926677,"-8.019908,-34.926677",SIM,,,,,,,1,1,1,,,6,,,,,1,1,2,,4.005.716.131,3.181.383.312,14/08/1976
066,066,s05100.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA PADRE LEMOS,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA PADRE LEMOS,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.020799,-34.921718,"-8.020799,-34.921718",SIM,,,,,,,1,,3,,,7,,,,,2,,1,,4.005.703.200,3.230.113.580,27/06/1977
